item,itemLabel,position,positionLabel,start,psid
Q105747185,Muhammetgeldi Serdarov,Q113501685,Minister of Finance and Economy of Turkmenistan,2020-07-03,Q105747185-3680F6CC-C645-46B0-94F8-F399C10D6AB4
Q4152150,Begenç Ataýewiç Gündogdyýew,Q113501617,Minister of Defense of Turkmenistan,2018-06-14,Q4152150-CFA34121-BD58-460E-A8EC-8B56D0F9514E
Q51874548,Serdar Berdimuhamedow,Q1155759,President of Turkmenistan,2022-03-19,Q51874548-95e308c7-4e1c-a584-6d45-c8e0891808ed
Q58141,Raşit Meredow,Q108837408,Minister of Foreign Affairs of Turkmenistan,2001-07-07,Q58141-FBEE4046-EEB3-4417-BFA5-856EAB908828
Q58141,Raşit Meredow,Q4185705,Vice President of Turkmenistan,2007-02-17,Q58141-D0DBA0B7-97B3-4A0D-A785-7C8CF9F0A6A6
