position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q121998,ambassador,,,1,Q811058
Q16474031,court president,Supreme Court of Turkmenistan,,1,Q307627
Q42309172,people's deputy of union of socialist soviet republics,,,1,Q82918
