item,itemLabel,ministry,ministryLabel,country,jurisdiction,began,ended,holders
Q113501617,Minister of Defense of Turkmenistan,Q4294507,Ministry of Defense of Turkmenistan,,Q874,,,6
Q113501646,Minister of Finance (Turkmenistan),Q4294792,Ministry of Finance (Turkmenistan),,Q874,,,5
Q113501685,Minister of Finance and Economy of Turkmenistan,Q56305977,Ministry of Finance and Economy of Turkmenistan,,Q874,,,3
Q108837408,Minister of Foreign Affairs of Turkmenistan,Q4294398,Ministry of Foreign Affairs of Turkmenistan,Q874,Q874,,,3
Q113501623,Minister of Internal Affairs,Q4294310,Ministry of Internal Affairs,,Q874,,,8
Q16676569,Ministry of Agriculture of Turkmenistan,,,Q874,Q874,,,0
Q1155759,President of Turkmenistan,,,Q874,Q874,1990,,3
Q4185705,Vice President of Turkmenistan,,,Q874,Q874,1992,,3
