item,itemLabel,startDate,endDate,sourceDate,psid
Q4307790,Sakhat Muradow,1990-11-18,2001-05-07,2022-08-12,Q4307790-080a1840-4a61-1394-54f3-4ad9a47dcb06
Q58141,Raşit Meredow,2001-05-07,2001-07-07,,Q58141-80032A2E-B391-4A93-9AA6-60E63588D14C
Q11349827,Rejepbay Arazov,2001-07-07,2002-03-13,2022-08-12,Q11349827-77D98E7A-107B-4987-B851-1A3C0276C916
Q307627,Öwezgeldi Ataýew,2002-11-12,2006-12-22,,Q307627-37F57C27-ADB7-43AB-858E-C2803E389D07
Q4328063,Akja Nurberdiýewa,2006-12-22,2018-03-30,2022-08-12,Q4328063-F5EAFAB6-2E8A-4CC7-8A1D-BCA92683E71F
Q18200512,Gülşat Mämmedowa,2018-03-30,,,Q18200512-526BA7B5-B29D-4C3A-BD88-0A783673425F
