who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
18793181,,,,,,,,,0
18793181,Q4185705,4th Vice President of Turkmenistan,2007-02-17,,Q57530,Gurbanguly Berdimuhamedow,,,1
18793181,Ministry of Foreign Affairs (Turkmenistan),Minister of Foreign Affairs,2001-07-07,,Q811058,Batyr Berdiýew,,,2
18793181,List of Chairmen of the Assembly of Turkmenistan,Chairman of the Assembly of Turkmenistan,2001-05-07,2001-07-07,Sakhat Muradow,Sakhat Muradow,Redzhepbay Arayow,Redzhepbay Arayow,3
