who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
58616329,Ministry of Defense (Turkmenistan),Minister of Defense of Turkmenistan,2018-06-14,,Q4084062,Yaylym Berdiyev,,,0
58616329,,,2011-03-29,2015-10-05,Q4084062,Yaylym Berdiyev,Q4084062,Yaylym Berdiyev,1
58616329,State Security Council of Turkmenistan,Secretary of the State Security Council of Turkmenistan,2022-04-06,,Çarymyrat Amanow,Çarymyrat Amanow,,,2
58616329,State Border Service of Turkmenistan,Head of the State Border Service of Turkmenistan,2016-03-01,2018-06-14,,Myrat Yslamov,,Shadurdy Durdyyev,3
